study_order,study_title,authors,year,journal,doi,publisher_outlet,publisher_outlet_detail,details_in_supplement,extraction_incomplete_main_text,supplement_notes,authors_business_school,author_affiliation_detail,management_domain,empirical_ulmc,not_pls,pls_sem_used,pls_variant,statistical_methods_mv,statistical_method_detail,method_variance_pct,harman_variance_pct,harman_deployed,lindell_whitney_r2_substantive,lindell_whitney_r2_method,avg_factor_loading_change,ulmc_improves_fit,ulmc_in_final,procedural_remedies_used,procedural_remedies_list,richardson_2009_cited,richardson_citation_context,richardson_critique_acknowledged,richardson_citation_text,three_step_approach_used,step1_baseline_reported,step2_ulmc_reported,step3_chisq_diff_reported,three_step_complete,sample_n,num_constructs,num_indicators,complexity_ratio,author_conclusion_mv,mv_inference_criteria_used,mv_inference_criteria_list,mv_inference_criteria_detail,mv_inferred_not_problem,mv_inference_rationale_text,author_fit_claims,estimator,software,country,industry_sector,study_design,data_collection_method,response_rate,verification_table,notes
L42,Legacy Refid 42 - ULMC Study,Legacy Study,,Sustainability,,MDPI,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC did not improve the fit of the model (no change in model fit),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Podsakoff recommends using William’s Unmeasured Latent Method Construct (ULMC) method to verify CMV [37], which is more rigorous than the Hamman test and the single factor Confirmatory Factor Analysis..."
L44,Legacy Refid 44 - ULMC Study,Legacy Study,,Human Resource Management,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,5,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC harmed the fit of the model (the fit of the proposed model was superior),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Having verified the measurement model, another CFA was evalu- ated to assess the extent to which common method variance was per- vasive among the predictors and mediators, employing the unmeasured lat..."
L45,Legacy Refid 45 - ULMC Study,Legacy Study,,Public Administration Review,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,TRUE,neutral,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Several limitations of our studies should be mentioned. In study 2, EI and PSE were measured using self-report questionnaires. As with all self-report measures, common method variance and social desir..."
L46,Legacy Refid 46 - ULMC Study,Legacy Study,,Human Resource Management Journal,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,29,,FALSE,,,,TRUE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,The authors do not provide a conclusion regarding the role of common method bias,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. The unmeasured latent method construct test (Podsakoff, MacKenzie, Lee, & Podsakoff, 2003) was further exam- ined to minimise concerns of common method variance. This test includes a measurement model..."
L49,Legacy Refid 49 - ULMC Study,Legacy Study,,Total Quality Management,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,2,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC did not improve the fit of the model (no change in model fit),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. As self-reported scales are employed to collect survey data, common method variance (CMV) has been discussed as a potential problem. To detect the impact of CMV, this study employs Harman’s single-fac..."
L51,Legacy Refid 51 - ULMC Study,Legacy Study,,Journal of Work and Organizational Psychology,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,26.23,,FALSE,,,,TRUE,,FALSE,none,TRUE,neutral,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,The authors do not provide a conclusion regarding the role of common method bias,,,,,,The inclusion of a ULMC harmed the fit of the model (the fit of the proposed model was superior),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. In order to assess the extent to which inter-correlations among the variables might be an artifact of ""common method variance"" (CMV), we employed three tests (as suggested by Podsakoff et al., 2003. S..."
L54,Legacy Refid 54 - ULMC Study,Legacy Study,,Journal of Business Ethics,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,TRUE,neutral,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. We also assessed the presence of common method bia- ses, as though the experimental component of our study included conditions and manipulations, the non-experi- mental component included data (i.e., ..."
L57,Legacy Refid 57 - ULMC Study,Legacy Study,,Journal of Business Ethics,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,5.75,,FALSE,,,,TRUE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusi&oacute;n of a ULMC did improve the fit of the model,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Although we collected data at two different times, all the variables were self-reported, and thus could be influenced by CMV (Podsakoff et al. 2003). Therefore, we tested whether CMV was present in ou..."
L58,Legacy Refid 58 - ULMC Study,Legacy Study,,European Management Review,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,9,,FALSE,,,,TRUE,,TRUE,anonymity; separation between measures; confidentiality,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Whether common method bias is or is not a significant threat to the study conclusions remains unclear,,,,,,The inclusi&oacute;n of a ULMC did improve the fit of the model,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. The existence of bias due to common method variance (CMV) can be a fatal flaw for mediation in mono- method/source studies because they are causal in nature. In this study, managers self-reported ethi..."
L59,Legacy Refid 59 - ULMC Study,Legacy Study,,Journal of Business Ethics,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,TRUE,neutral,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusi&oacute;n of a ULMC did improve the fit of the model,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Because measurement errors can have a serious con- founding influence on empirical results, yielding mislead- ing conclusions, we then ran some additional models to assess the potential effect of comm..."
L60,"Chen et al. (2021) - Moral disengagement and moral judgment: the roles of moral endorsement, shareholder-value orientation, and intensity of moral issues","Chen, Li, Feng, Zhang",2021,Ethics & Behavior,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,TRUE,neutral,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusi&oacute;n of a ULMC did improve the fit of the model,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Common method biases are considered as one of the main sources of measurement error that threats the validity of the conclusions about the relationships between measures (Bagozzi & Yi, 1991; Nunnally,..."
L63,Legacy Refid 63 - ULMC Study,Legacy Study,,Human Resource Management Journal,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,19.49,,FALSE,,,,TRUE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusi&oacute;n of a ULMC did improve the fit of the model,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Given that our study used self‐report measures, which may lead to common method bias, we assessed the signif- icance of the common method variable in two different ways. First, we ran Harman's one‐fac..."
L64,Legacy Refid 64 - ULMC Study,Legacy Study,,International Journal of Selection and Assessment,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC did not improve the fit of the model (no change in model fit),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. All constructs examined in our study were measured through self- reported assessment tools. Therefore, the estimates obtained in the subsequent models could be biased because of the common method used..."
L65,Legacy Refid 65 - ULMC Study,Legacy Study,,Public Management Review,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,28,,FALSE,,,,TRUE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. On top of it, in order to increase the robustness of our data, we conducted also the CFA (confirmatory factor analysis)-based approach with a single method factor (unmeasured latent method construct (..."
L66,Legacy Refid 66 - ULMC Study,Legacy Study,,Applied Psychology: An International Review,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,The authors do not provide a conclusion regarding the role of common method bias,,,,,,The inclusion of a ULMC harmed the fit of the model (the fit of the proposed model was superior),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. To control for a possible common method bias, we used the unmeasured latent method construct (ULMC) technique, which means adding a common latent factor to capture the common variance among all observ..."
L70,Legacy Refid 70 - ULMC Study,Legacy Study,,Management Decision,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,TRUE,neutral,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Finally, we are not concerned about common method bias (CMB), as we did not separate the predictor variables from the dependent construct in our study (Chang and van Witteloostuijn, 2010; Podsakoff et..."
L71,Legacy Refid 71 - ULMC Study,Legacy Study,,Public Performance & Management Review,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,TRUE,neutral,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. We also conducted Harman’s one-factor test (Podsakoff et al., 2003), Lindell and Whitney’s (2001) marker variable test, the CFA marker technique (Richardson et al., 2009), and the unmeasured latent me..."
L72,Legacy Refid 72 - ULMC Study,Legacy Study,,Human Resource Management,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,TRUE,neutral,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC did not improve the fit of the model (no change in model fit),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. To investigate the presence of common method variance (CMV) in our model we used the six-factor measurement model and the unmeasured latent method construct (ULMC) approach (Podsakoff, MacKenzie, Lee,..."
L74,Legacy Refid 74 - ULMC Study,Legacy Study,,Current Psychology,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,10.76,,FALSE,,,,TRUE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusi&oacute;n of a ULMC did improve the fit of the model,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Since this study collected data using a self-report research design, it is necessary to test common method bias (CMB). We adopted the “controlling for the effects of a single unmea- sured latent metho..."
L75,Legacy Refid 75 - ULMC Study,Legacy Study,,Sustainability,,MDPI,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC did not improve the fit of the model (no change in model fit),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. he threat of CMV was checked via two statistical techniques. First, concordant with the work of Kim et al. [60], the place of birth was used as the marker variable, which is theoretically unrelated to..."
L77,Legacy Refid 77 - ULMC Study,Legacy Study,,Work & Stress,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,The authors do not provide a conclusion regarding the role of common method bias,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. The potential effect of common method bias was examined via two post hoc ana- lyses: Harman’s one-factor test (Harman, 1976), and unmeasured latent method factor (Williams & McGonagle, 2016). One-fact..."
L81,Legacy Refid 81 - ULMC Study,Legacy Study,,Journal of Work and Organizational Psychology,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,19.98,,FALSE,,,,TRUE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Since the present study adopted a cross-sectional research design and self-report questionnaire survey, there might be concern about the common method variance in the present study. In order to test t..."
L82,Legacy Refid 82 - ULMC Study,Legacy Study,,International Journal of Business Communication,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,TRUE,neutral,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. This study encountered several limitations that can be addressed in future research. First, this study employed a quantitative survey to examine the linkages between supervisors’ use of motivating lan..."
L83,Legacy Refid 83 - ULMC Study,Legacy Study,,Journal of Marketing Management,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC harmed the fit of the model (the fit of the proposed model was superior),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. We tested the common method variance (CMV) with the unmeasured latent method factor technique (Podsakoff, MacKenzie, Lee, & Podsakoff, 2003). A comparison of the fit of two models (one with and the ot..."
L84,Legacy Refid 84 - ULMC Study,Legacy Study,,Journal of Nursing Management,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,24,,FALSE,,,,TRUE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusi&oacute;n of a ULMC did improve the fit of the model,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. The factor explained 24.00% of the total variance (less than 25.00%, the average amount of method variance observed in self-report studies; Podsakoff et al., 2012), indicating the common method varian..."
L86,Legacy Refid 86 - ULMC Study,Legacy Study,,Psychology Research & Behavior Management,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,TRUE,temporal separation; separation between measures,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC did not improve the fit of the model (no change in model fit),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. This study adopted both procedural and statistical remedies to minimize common method bias.68 First, we employed a social network approach to measure SLIN and SLAN, so they could be methodologically s..."
L87,Legacy Refid 87 - ULMC Study,Legacy Study,,Health Care Management Review,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,Legacy study from original systematic review. Text extraction available. Our hypothesized confirmatory factor analysis model includ- ing five factors yielded a very good fit to the data and was a better fit to the data than any other parsimonious model (see Table 2). To te...
L89,Legacy Refid 89 - ULMC Study,Legacy Study,,Journal of Business & Psychology,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,26.57,,FALSE,,,,TRUE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. To test for common method variance (CMV) and its poten- tial biasing effects in sample 1, we conducted CFAs using the unmeasured latent method factor approach (Williams & McGonagle, 2016). After evalu..."
L90,Legacy Refid 90 - ULMC Study,Legacy Study,,Journal of Business & Psychology,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,9,,FALSE,,,,TRUE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. As employees were nested within groups, we conducted mul- tilevel confirmatory factor analyses (MCFAs). We were inter- ested in the constructs at the individual level and did not con- ceptualize the c..."
L92,Legacy Refid 92 - ULMC Study,Legacy Study,,Psychology Research & Behavior Management,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Following Podsakoff, MacKenzie, Lee, Podsakoff,60 we adopted two methods to test for common method variance (CMV). First, we deployed Harman’s single factor test to diagnose the potential influence of..."
L94,Legacy Refid 94 - ULMC Study,Legacy Study,,Journal of Personal Selling & Sales Management,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,TRUE,multisource data,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. For Study 1, given the cross-sectional design of our data sample, we used a single unmeasured latent method factor to minimize common method variance (CMV), according to the recommendations by Podsako..."
L95,Legacy Refid 95 - ULMC Study,Legacy Study,,Information Technology & Management,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,11,,FALSE,,,,TRUE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC did not improve the fit of the model (no change in model fit),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. The longitudinal nature of the study helps to overcome concerns regarding common method bias (CMB) to some degree as such designs are less susceptible to CMB, com- pared to cross-sectional designs [67..."
L96,Legacy Refid 96 - ULMC Study,Legacy Study,,Social Behavior & Personality: an international journal,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,TRUE,neutral,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. We adopted Richardson et al.’s (2009) approach to controlling for the effects of an unmeasured latent method factor, and compared the fit indices of the basic model without common method variance (CMV..."
L98,Legacy Refid 98 - ULMC Study,Legacy Study,,Journal of Occupational & Organizational Psychology,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,1.9,,FALSE,,,,TRUE,,FALSE,none,TRUE,neutral,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC harmed the fit of the model (the fit of the proposed model was superior),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. We further examined the extent of common method bias using the unmeasured latent method construct technique (Podsakoff, MacKenzie, Lee, & Podsakoff, 2003; Richardson, Simmering, & Sturman, 2009). Each..."
L102,Legacy Refid 102 - ULMC Study,Legacy Study,,Management Decision,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC did not improve the fit of the model (no change in model fit),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. As the data we collected are self-reported, there is potential for common method variance (CMV). To address this issue, Harman's single-factor test was performed to examine the possible effects of CMV..."
L103,Legacy Refid 103 - ULMC Study,Legacy Study,,MIS Quarterly,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,0.9,,FALSE,,,,TRUE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Since our study used same-source data, we tested for the extent of common method variance. As Cyr et al. (2009) noted in their survey of the IS literature, such checks are rare but important. We added..."
L104,Legacy Refid 104 - ULMC Study,Legacy Study,,Human Resource Development Quarterly,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,1.9,,FALSE,,,,TRUE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Whether common method bias is or is not a significant threat to the study conclusions remains unclear,,,,,,The inclusi&oacute;n of a ULMC did improve the fit of the model,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Considering that the four major variables of interest are multidimensional higher-order constructs, it is impor- tant to confirm that method variance does not have a substantial effect on the correlat..."
L106,Legacy Refid 106 - ULMC Study,Legacy Study,,Journal of Organizational Behavior,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,TRUE,separation between measures,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC harmed the fit of the model (the fit of the proposed model was superior),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. We employed both procedural and statistical remedies to control for common method variance in our studies (Podsakoff, MacKenzie, & Podsakoff, 2012). First, we obtained predictor and criterion variable..."
L108,Legacy Refid 108 - ULMC Study,Legacy Study,,Journal of Business Ethics,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC did not improve the fit of the model (no change in model fit),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Even though procedural measures were implemented to avoid the common method bias, we nonetheless conducted Harman (1960)’s single-factor test and an unmeasured latent method factor (ULMF) test to ensu..."
L109,Legacy Refid 109 - ULMC Study,Legacy Study,,MIS Quarterly,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The authors did not make a clear claim regarding the relative fit of the model as it pertains to the ULMC,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. We examined the robustness of the results with four approaches. First, as Podsakoff et al. (2003) recommend, we employed Harman’s one- factor test. This test assesses the threat of common method bias ..."
L110,Legacy Refid 110 - ULMC Study,Legacy Study,,Journal of Business & Psychology,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,23,,FALSE,,,,TRUE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusi&oacute;n of a ULMC did improve the fit of the model,CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. Moreover, because the data were collected at the same time with self-report scales, common method bias problems may arise and inflate the patterns of relationships among the study variables. Following..."
L111,Legacy Refid 111 - ULMC Study,Legacy Study,,Corporate Social Responsibility & Environmental Management,,NA,NA,NA,NA,,,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct,,,FALSE,,,,FALSE,,FALSE,none,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Common method bias does not pose a significant threat to the study conclusions,,,,,,The inclusion of a ULMC did not improve the fit of the model (no change in model fit),CB-SEM,,,,,,,,"Legacy study from original systematic review. Text extraction available. To test for common method variance, we conducted a Harman's single‐factor test (Podsakoff, MacKenzie, Lee, & Podsakoff, 2003). This test involves a CFA in which we loaded all variables onto one genera..."
