study_order,study_title,authors,year,journal,doi,publisher_outlet,publisher_outlet_detail,predatory_journal_flag,details_in_supplement,extraction_incomplete_main_text,supplement_notes,authors_business_school,author_affiliation_detail,management_domain,empirical_ulmc,not_pls,pls_sem_used,pls_variant,statistical_methods_mv,statistical_method_detail,method_variance_pct,harman_variance_pct,harman_deployed,lindell_whitney_r2_substantive,lindell_whitney_r2_method,avg_factor_loading_change,ulmc_improves_fit,ulmc_in_final,procedural_remedies_used,procedural_remedies_list,multisource_same_construct,different_sources_iv_dv,distinct_sources_other,richardson_2009_cited,richardson_citation_context,richardson_critique_acknowledged,richardson_citation_text,three_step_approach_used,step1_presence_delta_chisq_reported,step1_presence_delta_chisq,step1_presence_pvalue,step1_cmv_indicated,step2_method_r_model_reported,step2_method_r_bias_test_reported,step2_bias_indicated,step3_contamination_reported,step3_indicator_level_mv_reported,step3_construct_level_mv_reported,method_variance_reported_despite_no_bias,step1_baseline_reported,step2_ulmc_reported,step3_chisq_diff_reported,three_step_complete,sample_n,num_constructs,num_indicators,complexity_ratio,author_conclusion_mv,mv_inference_criteria_used,mv_inference_criteria_list,mv_inference_criteria_detail,mv_inferred_not_problem,mv_inference_rationale_text,author_fit_claims,estimator,software,country,industry_sector,study_design,data_collection_method,response_rate,verification_table,notes,master_id,extraction_source,coding_mode
M0223,"Cavallari, Elena (2025) - Coping in the Face of Verbal Aggression: The Role of Self-Efficacy in Protecting...","Cavallari, Elena ; Setti, Ilaria ; Curcuruto, Matteo ; Sommovigo, Valentina",2025,Behavioral Sciences (2076-328X),10.3390/bs15040478,MDPI,Behavioral Sciences (2076-328X),TRUE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,36.41,TRUE,,,,,,TRUE,anonymity; distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,TRUE,,,,,,,,FALSE,201,,5,,concern - method bias and found it unlikely to pose a significant,FALSE,,,TRUE,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0223,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0229,"Yu, Xuan (2026) - Workplace ostracism and political behavior: a moderated mediation model of moral...","Yu, Xuan ; Yang, Maoting ; Zhang, Hantai",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1838746,Frontiers,Frontiers in Psychology,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,46.38,TRUE,,,,,,TRUE,temporal separation; attention checks,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,408,14,,,,FALSE,,,FALSE,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0229,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0233,"Yan, Haitao (2026) - The cognitive engine of evaluative threat: socially prescribed perfectionism and...","Yan, Haitao ; Liu, Chang",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1782906,Frontiers,Frontiers in Psychology,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,95.0,TRUE,,,,,,TRUE,anonymity; distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,TRUE,,,,,,,,TRUE,TRUE,,,,,TRUE,FALSE,606,,33,,,FALSE,,,FALSE,,,CB-SEM,AMOS,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0233,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0234,"Chen, Yunpeng (2026) - Analysis of hospital resilience in public health emergencies using structural eq...","Chen, Yunpeng ; Wu, Hao",2026,Frontiers in Public Health,10.3389/fpubh.2026.1819684,Frontiers,Frontiers in Public Health,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,31.8,TRUE,,,,,,TRUE,anonymity; temporal separation; item pretesting; distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,TRUE,TRUE,86.74,,,,,,TRUE,,TRUE,,TRUE,,TRUE,FALSE,110,2,5,2.5,,FALSE,,,FALSE,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0234,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0237,"Liu, Yanru (2026) - When artificial intelligence becomes a job resource: how psychological capital f...","Liu, Yanru ; Tian, Qing ; Chen, Jiachun",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1740508,Frontiers,Frontiers in Psychology,FALSE,,,,TRUE,"ovation in algorithm-driven workplaces Yanru Liu , Qing Tian * and Jiachun Chen School of Business, Macau University of Science & Technology, Taipa, Macao SAR, China Introduction: This paper examines the relationship b; capital fuels innovation in algorithm-driven workplaces Yanru Liu , Qing Tian * and Jiachun Chen School of Business, Macau University of Science & Technology, Taipa, Macao SAR, China Introduction: This paper examines the relationship b",TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,3.0,32.24,TRUE,,,,,,TRUE,anonymity; temporal separation; distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,TRUE,TRUE,0.273,,,,,,,,,,TRUE,,,FALSE,449,4,24,6.0,not a concern - method bias was not serious,FALSE,,,TRUE,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended,M0237,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0238,"Thi Tuyet Le, Trinh (2026) - A Bayesian analysis of determinants of open science utilization among Gen Z stud...","Thi Tuyet Le, Trinh ; Nguyen, Ho ; Le, Minh-Cuong ; Vo, Mai Xuan ; Pham, Thi-Quynh ; Ho, Manh-Tung ; Nguyen, Hong-Kong T.",2026,Discover Education,10.1007/s44217-026-01667-8,Springer,Discover Education,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test; Lindell & Whitney marker variable,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,69.0,TRUE,,,,,,FALSE,none reported,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,,TRUE,,,,TRUE,TRUE,TRUE,,,,TRUE,FALSE,1422,2,17,8.5,concern - method bias (CMB) diagnostics revealed substantial,FALSE,,,FALSE,,,CB-SEM,Lavaan,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF; procedural_remedies none reported in PDF,M0238,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0240,"Li, Tianjiao (2026) - The impact of shipping practitioners' low-carbon transition cognition on corpora...","Li, Tianjiao ; Chen, Qiong ; Lau, Yui-Yip",2026,Frontiers in Marine Science,10.3389/fmars.2026.1819880,Frontiers,Frontiers in Marine Science,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,28.91,TRUE,,,,,,TRUE,anonymity; item pretesting; attention checks; distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,TRUE,,,,,FALSE,89,3,12,4.0,not a concern - method bias does not pose a serious,FALSE,,,TRUE,,,CB-SEM,AMOS,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0240,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0241,"Bi, Zhuoying (2026) - From physical workplaces to virtual communities: extending the job embeddedness ...","Bi, Zhuoying ; Liu, Xiao ; Yang, Jiaoping",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1815824,Frontiers,Frontiers in Psychology,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,35.86,TRUE,,,,,,TRUE,distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,58,3,37,12.33,,FALSE,,,FALSE,,,,SPSS,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0241,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0243,"Wang, Haizhen (2026) - Provoking or backfiring? A contingent model of how abusive supervision influence...","Wang, Haizhen ; An, Ge ; Xu, Jiajia ; Ding, Lin ; Chen, Jie",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1532064,Frontiers,Frontiers in Psychology,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,26.0,TRUE,,,,,,TRUE,anonymity; temporal separation; attention checks,FALSE,FALSE,FALSE,FALSE,,,,,,,,TRUE,,,,,,,,,,,FALSE,189,,5,,,FALSE,,,FALSE,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0243,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0245,"Ma, Linlin (2026) - Latent Profile Analysis of Family Resilience and Its Associated Factors in Maint...","Ma, Linlin ; Su, Zhenzhen ; Luo, Yanfang ; Chen, Xueru ; Liu, Kangping ; Liu, Zhimin ; Xia, Fei ; Sun, Renjuan ; Wang, Jiao",2026,Journal of Multidisciplinary Healthcare,10.2147/jmdh.s608329,NA,Journal of Multidisciplinary Healthcare,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,11.13,TRUE,,,,,,TRUE,anonymity,FALSE,FALSE,FALSE,FALSE,,,,,,,,TRUE,,,,,,,,,,,FALSE,72,,20,,,FALSE,,,FALSE,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0245,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0246,"Ko, Sung-Hoon (2026) - Why perceived organizational virtue matters: a psychological mechanism.","Ko, Sung-Hoon",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1788145,Frontiers,Frontiers in Psychology,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test; Lindell & Whitney marker variable,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,40.0,TRUE,,,,,,TRUE,procedural remedies cited,FALSE,FALSE,FALSE,FALSE,,,,TRUE,TRUE,345.512,,TRUE,,,,TRUE,,,,TRUE,,TRUE,FALSE,320,3,13,4.33,concern - method bias is unlikely to pose a serious,FALSE,,,TRUE,,,CB-SEM,AMOS,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0246,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0249,"Ayesha, Benazir (2026) - Leadership avoidance as a rational choice among women instructors in higher educ...","Ayesha, Benazir ; Wen, Bo ; Li, Yuan ; Ahmed, Fawad",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1767636,Frontiers,Frontiers in Psychology,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Lindell & Whitney marker variable,unmeasured latent method construct (ulmc),not reported,,FALSE,,,,,,TRUE,anonymity; temporal separation; distinct_sources_other,FALSE,FALSE,TRUE,TRUE,,,,TRUE,TRUE,22.2,,TRUE,,,,TRUE,,,,TRUE,,TRUE,FALSE,229,,6,,concern - CMV is unlikely,FALSE,,,TRUE,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0249,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0250,"Zuo, Mingzhang (2026) - The pathways to teacher growth: mediating roles of motivation and self-efficacy ...","Zuo, Mingzhang ; Yang, Dengfeng ; Xiang, Lei ; Yang, Zhimiao",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1755265,Frontiers,Frontiers in Psychology,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,34.9,TRUE,,,,,,TRUE,anonymity,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,1298,,8,,not a concern - method bias did not pose a serious,FALSE,,,FALSE,,,,R,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0250,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0257,"Kho, Madison C. (2026) - Supervisors as Enhancers of Workplace Resilience Training: Promoting Training Tr...","Kho, Madison C. ; Crane, Monique F.",2026,Journal of Personnel Psychology,10.1027/1866-5888/a000384,NA,Journal of Personnel Psychology,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,50.0,TRUE,,,,,,TRUE,anonymity; attention checks,FALSE,FALSE,FALSE,FALSE,,,,TRUE,TRUE,,,TRUE,,,,,,,,TRUE,,,FALSE,93,,,,,TRUE,Harman single factor below 50%; no improvement in model fit with ULMC,,FALSE,,,CB-SEM,Lavaan,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0257,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0260,"Shen, Junjie (2026) - Algorithm aversion among workers in on-demand platforms: an exploration in the c...","Shen, Junjie ; Niu, Yanping ; Guo, Ziqing ; Chai, Yandong",2026,Management System Engineering,10.1007/s44176-026-00060-x,Springer,Management System Engineering,FALSE,,,,NA,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct (ulmc),not reported,,FALSE,,,,,,FALSE,none reported,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,TRUE,,,,,,,,FALSE,396,,,,not a concern - method bias was not a significant,FALSE,,,TRUE,,,CB-SEM,AMOS,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF; procedural_remedies none reported in PDF,M0260,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0261,"Wang, Zhen (2026) - When Leader Expectations Inspire and When They Overwhelm: The Role of Growth Min...","Wang, Zhen ; Chen, Huan",2026,Journal of Business & Psychology,10.1007/s10869-025-10040-9,Springer,Journal of Business & Psychology,FALSE,,,,NA,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,5.0,5.0,TRUE,,,,,,TRUE,anonymity; temporal separation; attention checks; distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,1361,,,,concern - CMB is unlikely,FALSE,,,TRUE,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended,M0261,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0262,"Ha, Hyesong (2026) - Digitalization and Employee Health and Well-Being During COVID-19.","Ha, Hyesong ; Raghavan, Aarthi ; Demircioglu, Mehmet Akif ; Hur, Hyunkang",2026,Administrative Sciences (2076-3387),10.3390/admsci16030156,MDPI,Administrative Sciences (2076-3387),TRUE,,,,TRUE,"n University, Ottawa, ON K1S 5B6, Canada; mehmetdemircioglu@cunet.carleton.ca 4 School of Business, Indiana University Kokomo, Kokomo, IN 46902, USA * Correspondence: hyunhur@iu.edu; rleton University, Ottawa, ON K1S 5B6, Canada; mehmetdemircioglu@cunet.carleton.ca 4 School of Business, Indiana University Kokomo, Kokomo, IN 46902, USA * Correspondence: hyunhur@iu.edu",TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,46.6,TRUE,,,,,,TRUE,anonymity; procedural remedies cited,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,1433,,,,,FALSE,,,FALSE,,,CB-SEM,Stata,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0262,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0264,"Yıldırım, Emre (2026) - Antecedents and Consequences of Customized Product Value.","Yıldırım, Emre ; Nart, Sima ; Karatepe, Osman M.",2026,Journal of Theoretical & Applied Electronic Commerce Research,10.3390/jtaer21030076,MDPI,Journal of Theoretical & Applied Electronic Commerce Research,TRUE,,,,TRUE,"tomized Product Value Emre Yıldırım 1,* , Sima Nart 1 and Osman M. Karatepe 2 1 Business School, Sakarya University, 54050 Sakarya, Türkiye; snart@sakarya.edu.tr 2 Faculty of Tourism, Eastern Mediterranean Universit",TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,,TRUE,,,,,,TRUE,anonymity; distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,32,,,,,FALSE,,,,,,CB-SEM,LISREL,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0264,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0265,"Zhang, Qin (2026) - Hedonic Beats Utilitarian: Differential Effects of AI Chatbots and AR/VR on Cons...","Zhang, Qin ; Abdullah, Firdaus",2026,Journal of Theoretical & Applied Electronic Commerce Research,10.3390/jtaer21020060,MDPI,Journal of Theoretical & Applied Electronic Commerce Research,TRUE,,,,TRUE,"/VR on Consumer Engagement in E-Commerce Qin Zhang 1 and Firdaus Abdullah 2,* 1 Faculty of Business and Management, Universiti Teknologi MARA (UiTM), Shah Alam 40450, Selangor, Malaysia; 2022857222@student.uitm.edu.my 2; A (UiTM), Shah Alam 40450, Selangor, Malaysia; 2022857222@student.uitm.edu.my 2 Faculty of Business and Management, Universiti Teknologi MARA (UiTM) Cawangan Sarawak, Kota Samarahan 94300, Sarawak, Malaysia * Correspond",TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test; Lindell & Whitney marker variable,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,34.2,TRUE,,,,,,TRUE,anonymity; item pretesting; attention checks; procedural remedies cited; distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,TRUE,,,,,,,TRUE,TRUE,,TRUE,,,,TRUE,FALSE,486,,,,,FALSE,,,FALSE,,,CB-SEM,AMOS,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0265,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0266,"Miao, Qing (2026) - 'Volunteers are incompetent': how the stereotype of incompetence impacts new vol...","Miao, Qing ; Huang, Jinhao ; He, Yuhang ; Pan, Chao",2026,Public Management Review,10.1080/14719037.2024.2436049,Taylor & Francis,Public Management Review,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,29.41,TRUE,,,,,,TRUE,anonymity; distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,170,,,,,FALSE,,,FALSE,,,CB-SEM,Lavaan,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0266,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0267,"Song, Yao (2025) - Linking Developmental HRM to Organizational Dehumanization Among Nurses: Work Me...","Song, Yao ; Liu, Yang ; Li, Shanshan ; Colet, Paolo C.",2025,Journal of Nursing Management,10.1155/jonm/8009052,NA,Journal of Nursing Management,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct (ulmc),not reported,,FALSE,,,,,TRUE,TRUE,anonymity; temporal separation; attention checks; distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,311,3,21,7.0,concern - CMB had a minimal,FALSE,,,TRUE,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0267,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0270,"Hörisch, Jacob (2024) - The impact of biodiversity information on willingness to pay.","Hörisch, Jacob ; Petersen, Lars ; Jacobs, Kathleen",2024,Journal of Industrial Ecology,10.1111/jiec.13552,Wiley,Journal of Industrial Ecology,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct (ulmc),not reported,,FALSE,,,,,,TRUE,temporal separation; attention checks,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,524,,,,,FALSE,,,FALSE,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0270,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0271,"Tu, Yan (2024) - Tasks at hand or more challenges: The roles of regulatory focus and job insecuri...","Tu, Yan ; Wang, Hai‐Jiang ; Jiang, Lixin ; De Witte, Hans ; Long, Lirong",2024,Journal of Occupational & Organizational Psychology,10.1111/joop.12533,Wiley,Journal of Occupational & Organizational Psychology,FALSE,,,,TRUE,"North-West University, Vanderbijlpark, South Africa Correspondence Lirong Long, School of Management, Huazhong University of Science and Technology, Luoyu Road 1037, Wuhan, China. Email: lrlong@mail.hust.edu.cn",TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct (ulmc),3.0,,FALSE,,,,,,TRUE,temporal separation,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,275,,,,not a concern - method variance is not a serious,FALSE,,,FALSE,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended,M0271,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0272,"Magrone, Monica (2024) - A New Look at Job Demands, Resources, and Volunteers' Intentions to Leave: The R...","Magrone, Monica ; Montani, Francesco ; Emili, Silvia ; Bakker, Arnold B. ; Sommovigo, Valentina",2024,Voluntas: International Journal of Voluntary & Nonprofit Organizations,10.1007/s11266-024-00679-y,Springer,Voluntas: International Journal of Voluntary & Nonprofit Organizations,FALSE,,,,NA,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct (ulmc),3.0,,FALSE,,,,,,TRUE,anonymity; counterbalancing,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,TRUE,,,,,FALSE,220,,,,,FALSE,,,TRUE,,,CB-SEM,Lavaan,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended,M0272,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0275,"Zhou, Mi (2024) - Vitality and learning: the impact of mobile technology use across work–nonwork b...","Zhou, Mi ; Liu, Wei ; Fan, Weiguo",2024,Behaviour & Information Technology,10.1080/0144929x.2023.2262605,Taylor & Francis,Behaviour & Information Technology,FALSE,,,,TRUE,"nagement, Xi'an Jiaotong University, Xi'an, People's Republic of China; bTippie College of Business, University of Iowa, Iowa City, IA, USA",TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,22.29,TRUE,,,,,,TRUE,anonymity; temporal separation,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,329,,,,not a concern - method bias does not appear to be a serious,FALSE,,,FALSE,,,CB-SEM,AMOS,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0275,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0280,"Yan, Jihong (2026) - The mediating role of professional self-concept in how teacher professional deve...","Yan, Jihong ; Dai, Xinyu",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1767900,Frontiers,Frontiers in Psychology,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,38.7,TRUE,,,,,,TRUE,anonymity; counterbalancing; procedural remedies cited,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,642,3,23,7.67,,FALSE,,,FALSE,,,CB-SEM,AMOS,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0280,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0285,"Chen, Wei (2026) - Positive emotional cues at work: how customer empowering behavior promotes proac...","Chen, Wei ; Yao, Kai ; Fan, Zhaoying",2026,Frontiers in Psychology,10.3389/fpsyg.2026.1734905,Frontiers,Frontiers in Psychology,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,17.18,TRUE,,,,,,TRUE,temporal separation; distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,236,,6,,,FALSE,,,FALSE,,,CB-SEM,AMOS,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0285,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0290,"Dong, Xuetong (2026) - How relationship-oriented behavior influences employee voice-silence conversion ...","Dong, Xuetong ; Xing, Luling",2026,Frontiers in Psychology,10.3389/fpsyg.2025.1662897,Frontiers,Frontiers in Psychology,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC; Harman single factor test,unmeasured latent method construct (ulmc); Harman's single factor test,not reported,28.4,TRUE,,,,,,TRUE,anonymity; temporal separation; item pretesting; counterbalancing; procedural remedies cited; multisource_same_construct,TRUE,FALSE,FALSE,FALSE,,,,TRUE,TRUE,3.21,,,,,,,,,,TRUE,,,FALSE,342,,,,,FALSE,,,TRUE,,,CB-SEM,AMOS,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0290,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
M0292,"Gong, Zhenxing (2026) - From retention to turnover: the paradoxical role of career optimism and the mode...","Gong, Zhenxing ; Lu, Yue ; Li, Miaomiao",2026,Frontiers in Psychology,10.3389/fpsyg.2025.1706367,Frontiers,Frontiers in Psychology,FALSE,,,,FALSE,,TRUE,TRUE,TRUE,FALSE,,ULMC,unmeasured latent method construct (ulmc),not reported,,FALSE,,,,,,TRUE,anonymity; temporal separation; distinct_sources_other,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,370,,6,,,FALSE,,,FALSE,,,CB-SEM,Mplus,,,,,,,AI-autonomous pre-fill (>=4 key fields); spot-check recommended; method_variance_pct not reported in PDF,M0292,extract_ebsco_on_hand_batch.py 2026-06-26,ai_autonomous
