article_id,title,authors,year,journal,volume,issue,doi,publisher_outlet,ebsco_an,ebsco_search_position,abstract,ebsco_db,ebsco_plink,cover_date,sources,source_import_file,ebsco_batch,legacy_refid,legacy_final_include,legacy_text_snippet,legacy_mv_pct,legacy_match_method,legacy_match_confidence,screening_status,screening_level1_include,screening_notes,extraction_status,study_order,extraction_file,zotero_key,pdf_path,has_pdf,examination_status,pdf_status,corpus_tier,examination_source,examination_updated_at,notes,created_at,updated_at
M0217,The Impact of Stigma on Autonomous Motivation Among Psychiatric Hospital Staff in China: The Mediating Role of Turnover Intention.,"Yin, Yaning ; Hei, Luping ; Zhao, Miaomiao ; Sun, Siwei ; Yuan, Beibei ; Islam, Talat",2026,Journal of Nursing Management,2026,,10.1155/jonm/9940890,NA,192373419,36,"Objectives: Stigma is a persistent psychosocial stressor in psychiatric care settings, yet its impact on the motivation of nursing staff and other healthcare professionals remains underexplored. This study examined how four dimensions of stigma—perceived stigma, self‐stigma, social concealment, and positive response—relate to autonomous motivation and whether turnover intention mediates these relationships. Methods: A cross‐sectional survey was conducted with 2813 employees from 36 psychiatric hospitals across six provinces in China. Validated scales measured stigma dimensions, turnover intention, and autonomous motivation. Structural equation modeling with bootstrapped confidence intervals tested direct and indirect pathways. Results: Perceived stigma directly predicted lower autonomous motivation, whereas self‐stigma and social concealment reduced motivation only indirectly via turnover intention. Notably, since the positive response dimension was reverse‐scored, higher stigma scores (representing lower positive response) were associated with reduced autonomous motivation through both direct and indirect pathways. Perceived stigma showed no significant indirect effect through turnover intention. Conclusions: Different stigma dimensions influence motivation through distinct psychological mechanisms. Strategies that reduce internalized stigma, foster value‐affirming behaviors, and address turnover‐related strain may help sustain autonomous motivation in high‐pressure psychiatric settings. These findings offer actionable insights for nursing managers seeking to strengthen workforce engagement and retention.",CINAHL Ultimate,https://research.ebsco.com/plink/16eea57a-6e34-37d6-80b5-dbfa5796c238,3/18/2026,ebsco_2026_06_batch1;ebsco_2026_search_order,EBSCO-Metadata-06_24_2026-2.csv;EBSCO-Metadata-06_26_2026.csv,1,,,,,,,included,True,L1 batch 2026-06-26; decision=included; Q1.1–Q1.3 all pass; confidence=high,complete,M0217,review/EBSCO/systematic_extraction_ebsco_on_hand.csv,,review/EBSCO/pdfs/EBSCO_M0217_Yin_2025_The_Impact_of_Stigma_on_Autonomous_Motivation_Am.pdf,True,fully_coded,available,ebsco_screened,ai_autonomous;key_fields>=4,2026-06-30,ebsco_search_position=36;ebsco_record_range=1-50,2026-06-26,2026-06-26
M0218,Approach or Avoidance: How Does Employees' Generative AI Awareness Shape Their Job Crafting Behavior? A Sensemaking Perspective.,"Yan, Yihang ; Qu, Xiaoqian ; Lei, Hongzhen ; Geng, Yao",2025,Behavioral Sciences (2076-328X),15,6,10.3390/bs15060789,MDPI,186207720,198,"Given the significant impact of Generative AI (GenAI) in the workplace, there are surprisingly few empirical studies examining how employees' GenAI awareness shapes differently oriented job crafting behaviors. In organizations, understanding this is important because GenAI is unlikely to fully replace employees; instead, it requires them to adopt adaptive strategies to work alongside GenAI. If employees engage in avoidance crafting behavior, it could have negative consequences for the organization. Based on sensemaking theory, we develop a theoretical model to explore how employees' GenAI awareness affects their job crafting behavior, as well as the mediating mechanisms and boundary conditions of its influence. Using self-evaluation data from 316 employees at three time points, the results of our hypothesis testing reveal that when employees perceive high internal Corporate Social Responsibility (CSR), their GenAI awareness triggers harmonious work passion and leads to approach job crafting; conversely, when employees perceive high external Corporate Social Responsibility, their GenAI awareness triggers obsessive work passion and leads to avoidance job crafting. Finally, the theoretical and empirical implications of our findings are discussed.",Academic Search Complete,https://research.ebsco.com/plink/fc9d5285-c65b-358a-bc01-abfb33dd56ac,Jun2025,ebsco_2026_06_batch1;ebsco_2026_search_order,EBSCO-Metadata-06_24_2026-2.csv;EBSCO-Metadata-06_26_2026.csv;EBSCO-Metadata-06_26_2026-4.csv,1,,,,,,,included,True,L1 batch 2026-06-26; decision=included; Q1.1–Q1.3 all pass; confidence=medium,complete,M0218,review/EBSCO/systematic_extraction_ebsco_on_hand.csv,,review/EBSCO/pdfs/EBSCO_M0218_Yan_2025_Approach_or_Avoidance_How_Does_Employees_Generat.pdf,True,fully_coded,available,ebsco_screened,ai_autonomous;key_fields>=4,2026-06-30,ebsco_search_position=198;ebsco_record_range=151-200,2026-06-26,2026-06-26
M0219,From physical self-esteem to sports participation: The mediating role of exercise motivation and social support in adolescents.,"Peng, Bo ; Chen, Weisong ; Wang, Hongshen ; Yu, Ting",2025,PLoS ONE,20,5,10.1371/journal.pone.0324588,NA,185349375,200,"Objective: This study examines the mechanisms linking physical self-esteem to adolescents' sports participation, emphasizing the mediating roles of exercise motivation and social support. It aims to establish a comprehensive framework that integrates psychological and social factors to understand sports behavior among adolescents. Method: A total of 2,588 adolescents from various regions in China were surveyed using validated scales for physical self-esteem, exercise motivation, social support, and sports participation. Structural equation modeling (SEM) was used to assess direct, mediated, and sequential mediation effects. Results: The analysis confirmed that physical self-esteem significantly predicts sports participation directly (β = 0.094, p < 0.001). Exercise motivation and social support act as mediators, explaining 33.26% and 16.74% of the total effect, respectively. Sequential mediation analysis showed that physical self-esteem influences sports participation through the combined effects of exercise motivation and social support, contributing 29.61% to the total effect. Demographic analyses revealed that males, rural adolescents, and middle school students exhibit higher levels of self-esteem, motivation, and sports participation. Group differences were analyzed based on demographic variables, including gender, grade level, and family location. Conclusion: This study underscores the critical roles of psychological traits and social contexts in shaping adolescents' sports participation. By revealing the mediating and sequential mediation effects of exercise motivation and social support, the research highlights pathways for targeted interventions. Schools and communities should focus on enhancing physical self-esteem and fostering supportive social networks to encourage sports participation. Future studies should incorporate longitudinal designs and explore cultural and regional variations to extend these findings.",Academic Search Complete,https://research.ebsco.com/plink/b9674782-bc2e-36a9-a306-d6cbc68e8d06,5/22/2025,ebsco_2026_06_batch1;ebsco_2026_search_order,EBSCO-Metadata-06_24_2026-2.csv;EBSCO-Metadata-06_26_2026.csv;EBSCO-Metadata-06_26_2026-4.csv,1,,,,,,,included,True,L1 batch 2026-06-26; decision=included; Q1.1–Q1.3 all pass; confidence=medium,complete,M0219,review/EBSCO/systematic_extraction_ebsco_on_hand.csv,,review/EBSCO/pdfs/EBSCO_M0219_Peng_2025_From_physical_self-esteem_to_sports_participatio.pdf,True,fully_coded,available,ebsco_screened,ai_autonomous;key_fields>=4,2026-06-30,ebsco_search_position=200;ebsco_record_range=151-200,2026-06-26,2026-06-26
M0220,Proactive Breakthrough or Passive Exhaustion? A Dual-Path Integrated Model Driven by Perceived Overqualification.,"Fan, Chuanhao ; Shang, Bingbing",2025,Behavioral Sciences (2076-328X),15,5,10.3390/bs15050702,MDPI,185477771,39,"With the advancement of global economic restructuring and China's economic transformation, structural employment contradictions have intensified amid increasingly competitive labor markets. The frequent occurrences of ""degree devaluation"" and talent ""downskilling"" have made perceived overqualification increasingly prevalent in organizations. This study, based on the Cognitive–Affective Personality System theory, investigates the differential mechanisms through which perceived overqualification drives approach and avoidance job crafting via cognitive and affective pathways. Data from a two-wave survey of 556 Chinese employees produced several key findings: (1) Perceived overqualification significantly enhances approach job crafting while suppressing avoidance job crafting by elevating role breadth self-efficacy (cognitive pathway), demonstrating a proactive breakthrough effect. (2) Perceived overqualification inhibits approach job crafting and exacerbates avoidance job crafting through triggering emotional exhaustion (affective pathway), revealing a passive exhaustion trap. (3) Perceived overqualification exerts a positive and significant overall indirect effect on approach job crafting through the combined mechanisms of cognitive gains from role breadth self-efficacy and affective costs from emotional exhaustion, whereas the overall indirect effect on avoidance job crafting is non-significant. (4) Idiosyncratic deals (i-deals) function as a dynamic boundary mechanism that amplifies the positive impact of role breadth self-efficacy and mitigates the negative effects of emotional exhaustion, while moderating the mediating roles of both pathways. This research develops a dual-path integrated model of perceived overqualification and job crafting by classifying job crafting categories, incorporating cognitive–affective pathways, and introducing i-deals as a contextual element. These findings respond to scholarly demands for elucidating the intricate connections between perceived overqualification and job crafting through integrative perspectives; in addition, they offer theoretical and practical insights for organizations to leverage the potential of overqualified individuals appropriately.",Academic Search Complete,https://research.ebsco.com/plink/fbe39b23-98ea-3eed-9b2e-ea116e958176,May2025,ebsco_2026_06_batch1;ebsco_2026_search_order,EBSCO-Metadata-06_24_2026-2.csv;EBSCO-Metadata-06_26_2026.csv,1,,,,,,,included,True,L1 batch 2026-06-26; decision=included; Q1.1–Q1.3 all pass; confidence=medium,complete,M0220,review/EBSCO/systematic_extraction_ebsco_on_hand.csv,,review/EBSCO/pdfs/EBSCO_M0220_Fan_2025_Proactive_Breakthrough_or_Passive_Exhaustion_A_D.pdf,True,fully_coded,available,ebsco_screened,ai_autonomous;key_fields>=4,2026-06-30,ebsco_search_position=39;ebsco_record_range=1-50,2026-06-26,2026-06-26
M0221,Coping Responses to the Stress of Using News Platforms' Recommendation Algorithms.,"Yang, Jie ; Li, Hongxiu ; Zhang, Linzi ; Xu, Guohu",2025,International Journal of Human-Computer Interaction,41,8,10.1080/10447318.2024.2352937,Taylor & Francis,184444587,164,"Drawing on the stressor–strain–outcome (SSO) framework, this study examined how information-related stressors (perceived information overload, information quality deterioration, and information narrowing) and privacy-related stressor (perceived privacy risk) in using news platforms' recommendation algorithms trigger users' psychological reactance, which leads to their active coping, expressive coping, or avoidance coping with their stress in using such recommendation algorithms. Using a sample of 352 valid research responses, this study found that users' psychological reactance is positively influenced by perceived information quality deterioration, followed by perceived information overload and perceived privacy risk. Meanwhile, perceived information narrowing has no significant impact on psychological reactance. In turn, psychological reactance exerts a stronger impact on expressive coping and avoidance coping responses than on active coping response. This study enriches the literature on the stress in algorithm usage at the individual level and provides practical insights for the providers of news platforms which have applied recommendation algorithms.",Academic Search Complete,https://research.ebsco.com/plink/1978f66d-3e46-3db0-b92b-af7912b3a148,Apr2025,ebsco_2026_06_batch1;ebsco_2026_search_order,EBSCO-Metadata-06_24_2026-2.csv;EBSCO-Metadata-06_26_2026.csv;EBSCO-Metadata-06_26_2026-4.csv,1,,,,,,,excluded_pls,False,L1 batch 2026-06-26; decision=excluded_pls; PLS-SEM excluded (Q1.3): PLS-SEM estimation detected; domain=True; ulmc=True; confidence=medium,none,,,,review/EBSCO/pdfs/EBSCO_M0221_Yang_2023_Coping_Responses_to_the_Stress_of_Using_News_Pla.pdf,True,not_read,available,ebsco_screened,default,2026-06-30,ebsco_search_position=164;ebsco_record_range=151-200,2026-06-26,2026-06-26
M0222,Men’s experiences of family supportive supervisor behavior through the lens of gender role traditionalism and nation of residence.,"Olson, Kristine J. ; Leiva, Pedro ; Huffman, Ann ; Wolburg Martinez, Fernanda",2025,"Community, Work & Family",,,10.1080/13668803.2025.2486127,Taylor & Francis,184289413,166,"Guided by Aycan’s (2008) cross-cultural model of culture and work-family conflict as well as gender role and the Job Demands-Resources theories, this study tests a model to examine the moderating effects of gender role traditionalism (GRT) as individual differences and cross-national social context in a mediation model where work-family conflict mediates the relationship between family-supportive supervisor behaviors (FSSB) and turnover intentions. The study sample included 366 men who were employed at car dealerships in Mexico or the United States. Results indicate that FSSB has a negative significant relationship with turnover intentions, while time-based conflict from their family-to-work role (FWC) and strain-based work-to-family role conflict (WFC) mediate that relationship. Further, an interaction between FSSB, country of residence, and GRT was significant for time and strain-based FWC. Additionally, interaction results indicate that men in the United States with low gender role traditionalism experienced less time-based WFC when employees perceived high FSSB in comparison to men with high gender role traditionalism and men in Mexico. Implications of this study indicate that men’s work-family experiences are associated with FSSB but that managers should consider how cultural values might affect the importance of workplace resources.",Academic Search Complete,https://research.ebsco.com/plink/9db2cc3e-19d4-3349-a941-fd03d84283e7,Apr2025,ebsco_2026_06_batch1;ebsco_2026_search_order,EBSCO-Metadata-06_24_2026-2.csv;EBSCO-Metadata-06_26_2026.csv;EBSCO-Metadata-06_26_2026-4.csv,1,,,,,,,included,True,L1 batch 2026-06-30; decision=included; Q1.1–Q1.3 all pass; confidence=medium,complete,M0222,review/EBSCO/systematic_extraction_ebsco_on_hand.csv,,review/EBSCO/pdfs/EBSCO_M0222_Kristine J. Olsona_2023_Mens_experiences_of_family_supportive_supervisor.pdf,True,fully_coded,available,ebsco_screened,ai_autonomous;key_fields>=4,2026-06-30,ebsco_search_position=166;ebsco_record_range=151-200,2026-06-26,2026-06-30
M0223,Coping in the Face of Verbal Aggression: The Role of Self-Efficacy in Protecting Healthcare Professionals' Well-Being and Job Satisfaction.,"Cavallari, Elena ; Setti, Ilaria ; Curcuruto, Matteo ; Sommovigo, Valentina",2025,Behavioral Sciences (2076-328X),15,4,10.3390/bs15040478,MDPI,184794529,42,"Verbal aggression toward healthcare professionals, primarily from patients and visitors, is widespread and negatively affects employee well-being and patient care quality. This study, comprising two samples, investigates the relationship between user-initiated verbal aggression and job satisfaction, with a focus on psychological processes (i.e., cynicism and mental distance) and personal boundary conditions (i.e., self-efficacy). Study 1 (pandemic period) explored cynicism and work-related self-efficacy, while Study 2 (post-pandemic) replicated and expanded these findings, incorporating mental distance, self-efficacy in managing negative emotions, and workload. Participants included 201 (Study 1) and 1442 (Study 2) healthcare professionals from one and eight Italian healthcare facilities, respectively, who completed online questionnaires. In both cross-sectional studies, verbal aggression was positively associated with psychological withdrawal responses, which, in turn, was negatively related to job satisfaction. However, high self-efficacy in managing negative emotions (rather than work-related self-efficacy) buffered these effects. In Study 2, the negative impact of verbal aggression on job satisfaction, mediated by mental distance, was most pronounced among those with low self-efficacy in managing negative emotions and a high workload. Conversely, individuals with high self-efficacy maintained their job satisfaction and did not exhibit psychological withdrawal, even under high workload conditions.",Academic Search Complete,https://research.ebsco.com/plink/f771d2b2-2bb3-3619-a580-ed0b2ef60974,Apr2025,ebsco_2026_06_batch1;ebsco_2026_search_order,EBSCO-Metadata-06_24_2026-2.csv;EBSCO-Metadata-06_26_2026.csv,1,,,,,,,included,True,L1 batch 2026-06-26; decision=included; Q1.1–Q1.3 all pass; confidence=high,complete,M0223,review/EBSCO/systematic_extraction_ebsco_on_hand.csv,,review/EBSCO/pdfs/EBSCO_M0223_Behavioral Sciences_2025_Coping_in_the_Face_of_Verbal_Aggression_The_Role.pdf,True,fully_coded,available,ebsco_screened,ai_autonomous;key_fields>=4,2026-06-30,ebsco_search_position=42;ebsco_record_range=1-50,2026-06-26,2026-06-26
M0224,The psychological mechanisms and behavioral determinants of academic integrity in the age of artificial intelligence.,"Yilmaz, Adem",2026,Frontiers in Psychology,,,10.3389/fpsyg.2026.1853790,Frontiers,194604959,43,"Objective: This study aimed to examine the psychological and behavioral determinants of AI-assisted academic dishonesty among university students through an integrated model. Specifically, the study investigated whether academic procrastination, learned helplessness, and academic self-efficacy predict cheating tendency; whether cheating tendency predicts AI-assisted academic dishonesty; whether AI use moderates the relationship between cheating tendency and academic dishonesty; and whether social and contextual factors significantly predict AI-assisted academic dishonesty. Methods: The study employed a quantitative, cross-sectional, correlational survey design. A total of 1,045 undergraduate students from different academic disciplines participated voluntarily in the study. Data were collected using seven measurement instruments and a personal information form. Descriptive statistics, Pearson correlation analyses, multiple regression analyses, and Hayes' PROCESS Model 14 were used to test the proposed moderated mediation model. Bootstrap resampling with 5,000 samples was applied to estimate indirect effects and 95% confidence intervals. Results: The findings showed that academic procrastination and learned helplessness positively predicted cheating tendency, whereas academic self-efficacy negatively predicted it. Cheating tendency significantly predicted AI-assisted academic dishonesty, and the interaction term indicated that the association between cheating tendency and AI-assisted academic dishonesty was stronger at higher levels of AI use. Conditional indirect effect analyses further demonstrated that cheating tendency mediated the effects of academic procrastination, learned helplessness, and academic self-efficacy on AI-assisted academic dishonesty, and these indirect effects became stronger at higher levels of AI use. In addition, social norms, peer behaviors, family attitudes, insufficient sanctions, teacher attitude, high expectations, and adverse conditions significantly predicted AI-assisted academic dishonesty, whereas ethical and moral education emerged as a negative predictor. Discussion: The findings indicate that AI-assisted academic dishonesty should be understood as a multilevel outcome shaped by the interaction of psychological vulnerabilities, cognitive tendencies, technological affordances, and socio-contextual influences. The study contributes to the academic integrity literature by showing that AI use does not merely accompany dishonest tendencies but amplifies their translation into behavior. These results highlight the need for psychologically informed, ethically grounded, and institutionally supported interventions to reduce academic dishonesty in AI-enhanced higher education environments.",Complementary Index,https://research.ebsco.com/plink/9590928e-c62e-3c89-8234-9f0d6460990b,2026,ebsco_2026_06_batch1;ebsco_2026_search_order,EBSCO-Metadata-06_24_2026-2.csv;EBSCO-Metadata-06_26_2026.csv,1,,,,,,,excluded_pls,False,L1 batch 2026-06-26; decision=excluded_pls; PLS-SEM excluded (Q1.3): PLS-SEM estimation detected; domain=True; ulmc=True; confidence=low,none,,,,review/EBSCO/pdfs/EBSCO_M0224_Yilmaz_2026_The_psychological_mechanisms_and_behavioral_dete.pdf,True,not_read,available,ebsco_screened,default,2026-06-30,ebsco_search_position=43;ebsco_record_range=1-50,2026-06-26,2026-06-26
M0225,Positive parenting style and academic burnout in physical education teacher education students: a chain mediating model of physical activity and meaning in life.,"Ma, Hui ; Liu, Lijun ; Huang, Shuting ; Yin, Zhonggen ; Liu, Tong",2026,Frontiers in Psychology,,,10.3389/fpsyg.2026.1854548,Frontiers,194575476,44,"Objective: Academic burnout impairs university students' development, yet research on Physical Education Teacher Education (PETE) students facing both academic and high-intensity training pressure is insufficient. This study explored the association between positive parenting style and academic burnout among PETE students, testing the chain mediating roles of physical activity and meaning in life based on Conservation of Resources theory. Methods: A cross-sectional design was used. In December 2025, a stratified sampling method was applied to survey 1,192 PETE students from 15 provinces in China (age range 18–24 years, M = 19.5, SD = 1.27; 54.4% male). Participants completed the Short Form of the Egna Minnen Beträffande Uppfostran (S-EMBU) for positive parenting style, the Physical Activity Behavior Scale, the Chinese Meaning in Life Questionnaire (C-MLQ), and the Adolescent Learning Burnout Inventory (ALBI). Chain mediation analysis was performed using the PROCESS macro (Model 6) in SPSS 25.0, and indirect effects were tested with the bootstrap method (5,000 resamples). Results: Correlation analysis showed significant pairwise correlations among positive parenting style, physical activity, meaning in life, and academic burnout. After controlling for gender and grade, the chain mediation model was supported. Positive parenting style was negatively associated with academic burnout (β = −0.110, p < 0.001). Three indirect pathways were identified: (1) via physical activity (indirect effect = −0.307, 95% CI [−0.340, −0.274]), (2) via meaning in life (indirect effect = −0.019, 95% CI [−0.030, −0.011]), and (3) via the sequential path of physical activity to meaning in life (indirect effect = −0.048, 95% CI [−0.061, −0.037]). Conclusion: Positive parenting style was negatively associated with academic burnout among PETE students. The independent mediating effect of physical activity was the strongest (effect = −0.307, 63.3% of total indirect effect). The chain mediation pathway (positive parenting style → physical activity → meaning in life → academic burnout) showed a small effect size (indirect effect = −0.048, contributing only 9.9% of the total indirect effect), indicating it plays a minor, auxiliary role rather than a dominant mechanism. Due to the cross-sectional design, causality cannot be inferred. Future longitudinal studies are needed to confirm these associations.",Complementary Index,https://research.ebsco.com/plink/adb4277f-d301-30e8-b47e-e25232b6e997,2026,ebsco_2026_06_batch1;ebsco_2026_search_order,EBSCO-Metadata-06_24_2026-2.csv;EBSCO-Metadata-06_26_2026.csv,1,,,,,,,level1_fail,False,L1 batch 2026-06-26; decision=excluded; Q1.1: no management-domain signal; flag for manual review; Q1.2: non-empirical study (meta[- ]analy); confidence=low,none,,,,review/EBSCO/pdfs/EBSCO_M0225_Ma_2026_Positive_parenting_style_and_academic_burnout_in.pdf,True,not_read,available,ebsco_screened,default,2026-06-30,ebsco_search_position=44;ebsco_record_range=1-50,2026-06-26,2026-06-26
M0226,"Beyond prompt engineering: the associations among creative self-efficacy, flow state, learner engagement, and psychological ownership in GenAI-assisted composition.","Tong, Tianyu",2026,Frontiers in Psychology,,,10.3389/fpsyg.2026.1823846,Frontiers,194550564,45,"Introduction: The integration of generative artificial intelligence (GenAI) into music education markedly lowers technical barriers for predominantly novice composers, but also raises concerns about a potential erosion of human creative agency. When learners rely on text prompts to produce music with minimal subsequent involvement, they may fail to develop a sense of psychological ownership over AI-assisted creations. Method: Drawing on the Theory of Psychological Ownership, this study examined the cognitive, affective, and behavioral processes through which perceived GenAI support relates to students' psychological ownership. Survey data were collected from 355 non–music-major undergraduates enrolled in a GenAI-assisted composition course that explicitly required iterative post-generation refinement of AI outputs. Structural equation modeling with bias-corrected bootstrapping was used to test a serial mediation model. Results and discussion: The results showed that perceived GenAI support was positively and significantly associated with psychological ownership, and that this relationship operated through a sequential pathway involving creative self-efficacy, flow state, and learner engagement. These findings suggest that GenAI does not inherently alienate learners; when positioned as a cognitive scaffold within a human-in-the-loop design, it is associated with creative confidence, optimal immersion, and active investment of effort. The study highlights the importance of deliberately incorporating productive friction into AI-supported learning activities to elicit an ""IKEA effect,"" thereby transforming algorithmically generated material into personally appropriated creative artifacts.",Complementary Index,https://research.ebsco.com/plink/2c5452ec-7c8f-3003-a730-a3ca22d55602,2026,ebsco_2026_06_batch1;ebsco_2026_search_order,EBSCO-Metadata-06_24_2026-2.csv;EBSCO-Metadata-06_26_2026.csv,1,,,,,,,level1_fail,False,L1 batch 2026-06-26; decision=excluded; Q1.1: no management-domain signal; flag for manual review; confidence=low,none,,,,review/EBSCO/pdfs/EBSCO_M0226_Tong_2026_Beyond_prompt_engineering_the_associations_among.pdf,True,not_read,available,ebsco_screened,default,2026-06-30,ebsco_search_position=45;ebsco_record_range=1-50,2026-06-26,2026-06-26
M0227,From overqualification to job crafting: how illegitimate tasks and moral distress shape physicians' self-regulation.,"Li, Tongyao",2026,Frontiers in Psychology,,,10.3389/fpsyg.2026.1800281,Frontiers,194520296,46,"Limited empirical research explains how physicians' perceived overqualification translates into moral distress and divergent forms of job crafting when administrative duties are experienced as role-incongruent. I surveyed 437 practicing physicians in Chengdu, China. I estimated a moderated serial process model in structural equation modeling with robust maximum likelihood estimation. Perceived overqualification was associated with stronger perceptions of unreasonable, illegitimate tasks, which were linked to higher moral distress; moral distress, in turn, was associated with lower approach job crafting and higher avoidance job crafting. The indirect pathway from overqualification to job crafting through unreasonable tasks and moral distress was negative for approach crafting and positive for avoidance crafting. Calling intensified the association between unreasonable tasks and moral distress, and professional identity weakened the extent to which moral distress translated into reduced approach crafting. These findings integrate overqualification, illegitimate tasks, and moral distress within a single self-regulation process and clarify how identity conditions shape physicians' coping through job crafting.",Complementary Index,https://research.ebsco.com/plink/daceed69-b517-3d35-8fff-ab66331c9d35,2026,ebsco_2026_06_batch1;ebsco_2026_search_order,EBSCO-Metadata-06_24_2026-2.csv;EBSCO-Metadata-06_26_2026.csv,1,,,,,,,level1_fail,False,L1 batch 2026-06-26; decision=excluded; Q1.2: marker-variable approach; ULMC mention insufficient; confidence=medium,none,,,,review/EBSCO/pdfs/EBSCO_M0227_Li_2026_From_overqualification_to_job_crafting_how_illeg.pdf,True,not_read,available,ebsco_screened,default,2026-06-30,ebsco_search_position=46;ebsco_record_range=1-50,2026-06-26,2026-06-26
M0228,Core self-evaluation and learning burnout among first-year medical students: a three-wave longitudinal study on the mediating roles of anxiety-related distress and problematic digital media use.,"Yang, Shoukai ; Yang, Xudong ; Li, Xiang ; Chen, Li ; Zheng, Yawen ; Dai, Zheru",2026,Frontiers in Medicine,,,10.3389/fmed.2026.1818069,Frontiers,194296743,47,,Complementary Index,https://research.ebsco.com/plink/2574ae4f-d3c0-32bf-a1a3-a7b331a62937,2026,ebsco_2026_06_batch1;ebsco_2026_search_order,EBSCO-Metadata-06_24_2026-2.csv;EBSCO-Metadata-06_26_2026.csv,1,,,,,,,level1_fail,False,L1 batch 2026-06-26; decision=excluded; Q1.1: non-management domain keywords (exclude list); confidence=medium,none,,,,review/EBSCO/pdfs/EBSCO_M0228_Yang_2026_Core_self-evaluation_and_learning_burnout_among.pdf,True,not_read,available,ebsco_screened,default,2026-06-30,ebsco_search_position=47;ebsco_record_range=1-50,2026-06-26,2026-06-26
M0229,Workplace ostracism and political behavior: a moderated mediation model of moral disengagement and supervisor-rated job performance.,"Yu, Xuan ; Yang, Maoting ; Zhang, Hantai",2026,Frontiers in Psychology,,,10.3389/fpsyg.2026.1838746,Frontiers,194296488,48,"Introduction: Workplace ostracism is common in many organizations and has grown to be a significant factor affecting employees' attitudes and behaviors. This study investigates the mediating role of moral disengagement and the moderating role of supervisor-rated job performance in the relationship between workplace ostracism and employees' political behavior. Methods: Questionnaires were used to collect data from 408 Chinese employees across various industries. MPLUS and SPSS were used to test the model fit and hypotheses, respectively. Results: The results showed that workplace ostracism positively affects political behavior through moral disengagement. Additionally, the effect of workplace ostracism on moral disengagement and the indirect effect of moral disengagement are both negatively moderated by supervisor-rated job performance. Discussion: In addition to offering theoretical insights into the mechanisms underlying workplace ostracism and employees' political behavior, this study has practical implications for organizations looking to control organizational political behavior by improving performance evaluation systems and addressing employees' moral disengagement.",Complementary Index,https://research.ebsco.com/plink/c5308bfa-1d71-3eb0-82f7-8b3f6cb6d008,2026,ebsco_2026_06_batch1;ebsco_2026_search_order,EBSCO-Metadata-06_24_2026-2.csv;EBSCO-Metadata-06_26_2026.csv,1,,,,,,,included,True,L1 batch 2026-06-26; decision=included; Q1.1–Q1.3 all pass; confidence=medium,complete,M0229,review/EBSCO/systematic_extraction_ebsco_on_hand.csv,,review/EBSCO/pdfs/EBSCO_M0229_Yu_2026_Workplace_ostracism_and_political_behavior_a_mod.pdf,True,fully_coded,available,ebsco_screened,ai_autonomous;key_fields>=4,2026-06-30,ebsco_search_position=48;ebsco_record_range=1-50,2026-06-26,2026-06-26
M0230,The mechanism of chained psychological resources: the pathway of influence of mood states on executive function in art major candidates.,"Ji, Xiang ; Jin, Peilai ; Zuo, Yu ; Xu, Yiya ; Wang, Miaomiao",2026,Frontiers in Education,,,10.3389/feduc.2026.1805091,Frontiers,194203939,49,"Background: Art major candidates face unique pressures from balancing academic study and specialized training, making their cognitive function vulnerable to mood fluctuations. While prior research has focused on actively improving mood through external interventions, less is known about how individuals maintain cognitive performance through internal psychological resources when immediate mood regulation is not possible. Integrating Conservation of Resources Theory and Social Cognitive Theory, this study examined how mood states relate to executive function in art major candidates, focusing on the mediating roles of positive psychological capital and regulatory emotional self-efficacy. Methods: A cross-sectional survey was conducted with 428 senior high school art major candidates from three training institutions in Shandong Province, China. Participants completed the Profile of Mood States-Short Form, the Positive Psychological Capital Questionnaire, the Regulatory Emotional Self-Efficacy Scale, and the Behavior Rating Inventory of Executive Function. Data were analyzed using correlation analysis, hierarchical regression, and bootstrap-based chained mediation analysis. Results: More negative mood states were significantly correlated with poorer executive function. This relationship was partially mediated by positive psychological capital and by regulatory emotional self-efficacy. A significant chained mediation path was also identified: more negative mood states were associated with lower positive psychological capital, which in turn was linked to lower regulatory emotional self-efficacy, ultimately relating to poorer executive function. These findings suggest a resource depletion process. Conclusions and contributions: This study provides the first empirical evidence for a chained psychological resource mechanism among art major candidates, demonstrating how mood states relate to executive function through sequential associations with psychological capital and regulatory self-efficacy. The findings clarify the direction of these relationships and reveal a ""resource loss spiral"" whereby negative mood relates to depleted psychological resources and diminished efficacy beliefs. Theoretically, the study integrates multiple perspectives to address a gap in understanding emotion-cognition relationships in ""passive adaptation"" contexts. Practically, the results offer preliminary guidance for designing sequential interventions—focusing first on building psychological capital, then on strengthening regulatory efficacy—for art major candidates in similar high-pressure educational environments.",Complementary Index,https://research.ebsco.com/plink/219c8914-055f-306c-8333-c4c04192f89e,2026,ebsco_2026_06_batch1;ebsco_2026_search_order,EBSCO-Metadata-06_24_2026-2.csv;EBSCO-Metadata-06_26_2026.csv,1,,,,,,,level1_fail,False,L1 batch 2026-06-26; decision=excluded; Q1.1: no management-domain signal; flag for manual review; confidence=low,none,,,,review/EBSCO/pdfs/EBSCO_M0230_Ji_2026_The_mechanism_of_chained_psychological_resources.pdf,True,not_read,available,ebsco_screened,default,2026-06-30,ebsco_search_position=49;ebsco_record_range=1-50,2026-06-26,2026-06-26
